<div class="front-text">【定理】极限的局部保号性</div><br>若 $\lim_{x\to x_0}f(x) = A > 0$，则在 $x_0$ 的某去心邻域内 $f(x)$ 满足什么条件？	在 $x_0$ 的某去心邻域内满足：<div class="latex-box box-purple">\[ f(x) > 0 \]</div><br><small><b>【避坑与拓展】</b><br>1. <b>去帽不保零：</b>若极限 $>0$，函数值只能保证 $>0$（严格大于）。<br>2. <b>加帽必加零：</b>反之，若已知 $f(x)>0$ 且极限 $A$ 存在，则结论只能是 $A \ge 0$（可能取等）。</small>	396数学::01_极限定义与性质
<div class="front-text">【记忆】常用等价无穷小 (第一组：基础三角)</div><br>当 $x\to 0$ 时，$\sin x, \arcsin x, \tan x, \arctan x$ 等价于什么？	<div class="latex-box box-green">\[ \sin x \sim x, \quad \arcsin x \sim x \]<br>\[ \tan x \sim x, \quad \arctan x \sim x \]</div><br><small><b>【适用条件】</b><br>仅适用于 $x \to 0$ 时。若 $x \to \Delta$ 且 $\Delta \neq 0$，需先换元令 $t = x - \Delta$ 转化为趋于 0 的情况。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】常用等价无穷小 (第二组：代数与对数)</div><br>当 $x\to 0$ 时，$\ln(1+x), e^x-1, 1-\cos x, (1+x)^\alpha-1$ 分别等价于什么？	<div class="latex-box box-green">\[ \ln(1+x) \sim x, \quad e^x-1 \sim x \]<br>\[ 1-\cos x \sim \frac{1}{2}x^2 \]<br>\[ (1+x)^\alpha-1 \sim \alpha x \]</div><br><small><b>【记忆口诀】</b><br>$\cos$ 是个二皮脸（$1/2$ 次方）；<br>伯努利不等式变体 $(1+x)^\alpha \approx 1+\alpha x$。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】常用等价无穷小 (第三组：差值类高阶)</div><br>当 $x\to 0$ 时，$x-\sin x$ 和 $x-\tan x$ 分别等价于什么？	<div class="latex-box box-green">\[ x-\sin x \sim \frac{1}{6}x^3 \]<br>\[ x-\tan x \sim -\frac{1}{3}x^3 \]</div><br><small><b>【避坑指南】</b><br>注意符号！$\tan x$ 增长比 $x$ 快（图像在 $y=x$ 上方），所以 $x-\tan x$ 是负的；$\sin x$ 在下方，所以 $x-\sin x$ 是正的。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】常用等价无穷小 (第四组：差值类对指与反三角)</div><br>当 $x\to 0$ 时，$x-\arcsin x, x-\arctan x, x-\ln(1+x), e^x-1-x$ 等价于什么？	<div class="latex-box box-green">\[ x-\arcsin x \sim -\frac{1}{6}x^3 \]<br>\[ x-\arctan x \sim \frac{1}{3}x^3 \]<br>\[ x-\ln(1+x) \sim \frac{1}{2}x^2 \]<br>\[ e^x-1-x \sim \frac{1}{2}x^2 \]</div><br><small><b>【记忆关联】</b><br>反三角函数的系数与正三角函数<b>符号相反</b>（$\arcsin$ 对应 $-1/6$）；<br>指数 $e^x$ 展开是 $1+x+x^2/2$，移项即得。</small>	396数学::02_函数极限计算
<div class="front-text">【技巧】$1^\infty$ 型极限大招</div><br>对于 $1^\infty$ 型的极限 $\lim u^v$，可以使用什么大招公式快速转化？	<div class="latex-box box-green">\[ \lim u^v = e^{\lim v(u-1)} \]</div><br><small><b>【使用前提】</b><br>必须严格确认底数 $u \to 1$ 且指数 $v \to \infty$。切勿对 $0^0$ 或 $\infty^0$ 直接使用此公式（需先取对数变形）。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】泰勒公式 (正余弦)</div><br>写出 $\sin x$ 和 $\cos x$ 在 $x\to 0$ 时的泰勒展开式（带皮亚诺余项）。	<div class="latex-box box-green">\[ \sin x = x - \frac{x^3}{3!} + \frac{x^5}{5!} - \cdots + o(x^{2n+1}) \]<br>\[ \cos x = 1 - \frac{x^2}{2!} + \frac{x^4}{4!} - \cdots + o(x^{2n}) \]</div><br><small><b>【规律】</b><br>$\sin x$ 是奇函数，只有奇数次幂；<br>$\cos x$ 是偶函数，只有偶数次幂；<br>符号均为正负交替。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】泰勒公式 (指数与对数)</div><br>写出 $e^x$ 和 $\ln(1+x)$ 在 $x\to 0$ 时的泰勒展开式。	<div class="latex-box box-green">\[ e^x = 1 + x + \frac{x^2}{2!} + \cdots + \frac{x^n}{n!} + o(x^n) \]<br>\[ \ln(1+x) = x - \frac{x^2}{2} + \frac{x^3}{3} - \cdots + (-1)^{n-1}\frac{x^n}{n} + o(x^n) \]</div><br><small><b>【易错点】</b><br>$\ln(1+x)$ 的分母是 $n$ 而不是 $n!$；<br>注意 $\ln$ 展开式的符号是正负交替。</small>	396数学::02_函数极限计算
<div class="front-text">【记忆】泰勒公式 (分式展开)</div><br>写出 $\frac{1}{1-x}$ 和 $\frac{1}{1+x}$ 在 $x\to 0$ 时的泰勒展开式（几何级数）。	<div class="latex-box box-green">\[ \frac{1}{1-x} = 1 + x + x^2 + \cdots + x^n + o(x^n) \]<br>\[ \frac{1}{1+x} = 1 - x + x^2 - x^3 + \cdots + (-1)^n x^n + o(x^n) \]</div><br><small><b>【应用场景】</b><br>常用于求高阶导数 $f^{(n)}(0)$ 或处理分母为多项式的极限问题。</small>	396数学::02_函数极限计算
<div class="front-text">【技巧】反双曲正弦函数极限结论</div><br>当 $x\to 0$ 时，$\ln(x+\sqrt{x^2+1})$ 等价于什么？其导数是什么？	当 $x \to 0$ 时：<div class="latex-box box-green">\[ \ln(x+\sqrt{x^2+1}) \sim x \]</div><br>导数公式：<div class="latex-box box-green">\[ f'(x) = \frac{1}{\sqrt{x^2+1}} \]</div><br><small><b>【拓展】</b><br>该函数是<b>奇函数</b>。此结论在不定积分 $\int \frac{1}{\sqrt{x^2+1}}dx$ 中非常重要。</small>	396数学::02_函数极限计算
<div class="front-text">【定理】数列极限的绝对值与根式结论</div><br>1. $\lim_{n\to\infty} x_n = 0 \Leftrightarrow ?$ <br>2. $\lim_{n\to\infty} \sqrt[n]{a^n+b^n+c^n}$ ($a,b,c > 0$) = ?	1. 绝对值等价性：<div class="latex-box box-purple">\[ \lim_{n\to\infty} x_n = 0 \Leftrightarrow \lim_{n\to\infty} |x_n| = 0 \]</div><br>2. 根式最值结论 (夹逼定理应用)：<div class="latex-box box-purple">\[ \lim_{n\to\infty} \sqrt[n]{a^n+b^n+c^n} = \max(a, b, c) \]</div><br><small><b>【直观理解】</b><br>老大吃掉小弟。当 $n \to \infty$ 时，底数最大的项起决定性作用。</small>	396数学::03_数列极限
